0,hola alice,*,*,hola usuario,ejm.aiml
0,donde estudias,*,*,yo estudio en la umg,ejm.aiml
0,UN * ES UN *,*,*,"Como <star index = ""1""/> no puede ser <star index = ""2""/>?",ejm.aiml
0,hola,*,*," <random><li> hola hola </li><li> Hi! </li></random>",ejm.aiml
0,me llamo *,*,*,"hola <star index = ""1""/>?",ejm.aiml
0,mi nombre es *,*,*," que bien q estes en el curso <set name = ""username""> <star/>! </set>",ejm.aiml
0,ganare el curso,*,*," <random><li> si </li><li> no </li></random> <get name = ""username""/> ",ejm.aiml
0,cual es tu deporte favorito,*,*,<random><li>futbol</li><li>basquetbol</li><li>natacion</li><li>karate</li><li>boxeo</li></random>,elm.aimlfutbol
0,abre blender,*,*,<template><system>prime-run blender</system></template>,ejm.aiml
0,que fecha es hoy,*,*,"<template>"Hoy es:"<system>date</system></template>",ejm.aim
